project,risk,stakeholder,idx
module construction|Kanban system|process,wastes|issues,labours,9135
major research project,None,public|people|cultural resources|community,9136
Decision-making support in organizational systems,Various types of risk (property|third-party liability|staff|or decisions,Companies (suppliers,9137
None,None,None,9139
instrumentation of bridges|development of more realistic and accurate prediction models|enhancement of bridge management practices,visual inspections|damage occurring inside the structure|high subjectivity,Florida Department of Transportation,9140
NMME project,None,None,9141
HAMSTAD project,None,None,9142
Bank filtration study,Diminishing the loads of trace organic compounds (TOrCs) through bank filtration|despite uncertainty about the influence of local environmental conditions on biodegradation processes,Researchers studying the fate and transport behavior of trace organic compounds in the aquifer,9146
None,None,None,21
Disposal of spent nuclear fuel and high-level radioactive waste,Heat generated by the radioactive waste,U.S. Department of Energy (DOE|U.S. Geological Survey (USGS|Nuclear Waste Policy Act|etc,9150
None,None,None,9151
None,Dynamic moisture equilibrium|frost damage risk,None,9152
development of the project procurement system selection model (PPSSM,None,None,9153
Developing new engineering degree programs that incorporate interdisciplinary learning and address the unique challenges facing civil engineering education,Changes in engineering education|such as the rapid pace of technological change and the need for improved systems thinking|could pose risks to the quality and effectiveness of civil engineering education,Civil engineering educators|organizations|,9154
Literature review|systematic review|intrafirm environment|inter-firm performance|contextual factors,Agreement|progress|human resource management|quality management|project management|new product development|supply chain management,Buyer-supplier relationships,9155
